WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,JAX,NYG,1,3,0,0,0,0,1,0,2,2,0,2,2,0,0,0
2,DAL,DAL,1,2,0,1,1,0,0,0,2,2,0,2,2,0,0,0
3,HOU,HOU,3,2,0,3,3,0,0,0,2,3,0,1,1,0,1,0
4,NO,NYG,2,1,0,1,1,1,1,0,3,4,0,3,3,0,0,0
5,CAR,CAR,3,3,0,2,2,1,1,0,3,4,0,3,3,0,0,0
6,PHI,NYG,1,2,0,1,1,0,0,0,4,2,0,4,4,0,0,0
7,ATL,ATL,2,2,0,0,0,1,2,0,2,3,0,2,2,0,0,0
8,WAS,NYG,1,2,0,1,1,0,0,0,2,2,0,2,2,0,0,0
10,SF,SF,3,2,0,3,3,0,0,0,2,3,0,2,2,0,0,0
11,TB,NYG,5,1,0,5,5,0,0,0,5,0,0,5,5,0,0,0
12,PHI,PHI,2,3,0,1,1,0,1,0,2,3,0,0,0,2,2,0
13,CHI,NYG,3,3,0,3,3,0,0,0,3,2,0,3,3,0,0,0
14,WAS,WAS,5,2,0,4,5,0,0,0,2,0,0,0,0,2,2,0
