WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,DET,DET,6,2,0,6,6,0,0,0,2,1,0,2,2,0,0,0
2,MIA,NYJ,1,2,0,0,1,0,0,0,3,0,0,2,3,0,0,0
3,CLE,CLE,2,1,0,2,2,0,0,0,2,2,0,1,1,1,1,0
4,JAX,JAX,1,2,0,0,0,0,1,0,3,3,1,2,2,0,1,0
5,DEN,NYJ,4,2,0,4,4,0,0,0,2,1,0,1,1,0,1,0
6,IND,NYJ,3,7,0,3,3,0,0,0,4,2,0,4,4,0,0,0
7,MIN,NYJ,2,1,0,2,2,0,0,0,4,3,0,4,4,0,0,0
8,CHI,CHI,1,1,0,1,1,0,0,0,3,1,0,3,3,0,0,0
9,MIA,MIA,0,2,0,0,0,0,0,0,1,2,0,1,1,0,0,0
10,BUF,NYJ,1,1,0,1,1,0,0,0,5,2,0,5,5,0,0,0
12,NE,NYJ,1,2,0,1,1,0,0,0,3,2,0,3,3,0,,0
