WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,LAR,OAK,1,2,0,1,1,0,0,0,3,4,0,3,3,0,0,0
2,DEN,DEN,2,2,0,1,2,0,0,0,2,2,0,2,2,0,0,0
3,MIA,MIA,2,2,0,2,2,0,0,0,4,0,0,4,4,0,0,0
4,CLE,OAK,5,3,0,4,4,1,1,0,5,2,0,2,2,2,3,0
5,LAC,LAC,1,1,0,1,1,0,0,0,3,2,0,2,3,0,0,0
6,SEA,LON,0,1,0,0,0,0,0,0,3,2,0,3,3,0,0,0
8,IND,OAK,4,0,0,4,4,0,0,0,5,2,0,4,4,1,1,0
9,SF,SF,0,1,0,0,0,0,0,0,4,2,0,4,4,0,0,0
10,LAC,OAK,0,2,0,0,0,0,0,0,2,2,0,2,2,0,0,0
11,ARI,ARI,2,3,0,2,2,0,0,0,3,0,0,3,3,0,0,0
12,BAL,BAL,2,1,0,2,2,0,0,0,4,2,0,4,4,0,0,0
13,KC,OAK,4,2,0,3,3,0,1,0,5,2,0,4,5,0,0,0
14,PIT,OAK,3,1,0,3,3,0,0,0,3,0,0,3,3,0,0,0
15,CIN,CIN,1,3,0,1,1,0,0,0,3,3,0,3,3,0,0,0
16,DEN,OAK,3,2,0,3,3,0,0,0,2,0,0,2,2,0,0,0
17,KC,KC,0,1,0,0,0,0,0,0,5,1,0,5,5,0,0,0
