WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,KC,LAC,3,2,0,0,0,2,3,0,5,1,0,5,5,0,0,0
2,BUF,BUF,4,1,0,4,4,0,0,0,2,2,0,2,2,0,0,0
3,LAR,LAR,3,1,0,2,3,0,0,0,5,0,0,5,5,0,0,0
4,SF,LAC,3,3,0,0,2,1,1,0,3,2,0,3,3,0,0,0
5,OAK,LAC,3,2,0,2,3,0,0,0,1,1,0,1,1,0,0,0
6,CLE,CLE,5,1,0,5,5,0,0,0,1,2,0,0,0,1,1,0
7,TEN,LON,2,2,0,2,2,0,0,0,2,2,0,1,1,0,1,0
9,SEA,SEA,4,0,0,1,3,0,1,0,2,1,0,2,2,0,0,0
10,OAK,OAK,2,2,0,2,2,0,0,0,0,2,0,0,0,0,0,0
11,DEN,LAC,1,3,0,1,2,0,0,0,3,1,0,2,2,0,1,0
12,ARI,LAC,6,1,0,6,6,0,0,0,1,1,0,1,1,0,0,0
13,PIT,PIT,4,1,0,2,2,2,2,0,4,1,0,3,4,0,0,0
14,CIN,CIN,2,4,0,2,2,0,0,0,2,3,0,0,0,0,2,0
15,LAC,LAC,4,0,0,3,3,1,1,0,4,0,0,4,4,0,0,0
