,Offense,Defense,Overall,Standardized,Quantile
LAR,8.277777777777777,-1.722222222222222,10.0,2.1309490488103817,0.9834533300295106
BAL,1.5555555555555554,-8.166666666666666,9.722222222222221,2.0717549920021625,0.9808558520003827
KC,10.694444444444443,3.8611111111111107,6.833333333333333,1.4561368011966842,0.9273225970135412
CHI,2.7133333333333325,-3.206666666666667,5.919999999999999,1.2615067424112596,0.896436833840808
SEA,1.4666666666666661,-2.7444444444444436,4.2111111111111095,0.8973449049270958,0.8152325490768999
PIT,1.8999999999999995,-2.283333333333333,4.183333333333333,0.8914254992462741,0.8136495284961217
NE,3.6555555555555554,-0.08333333333333393,3.7388888888888894,0.7967150083531238,0.7871917172600891
NO,8.086666666666666,4.386666666666668,3.6999999999999984,0.7884278403999727,0.7847767542744288
CIN,4.422222222222222,0.8277777777777781,3.594444444444443,0.7659340988128496,0.778142242328699
LAC,3.222222222222222,-0.08333333333333304,3.305555555555555,0.7043722797323019,0.7593995178541355
DAL,-2.422222222222222,-5.033333333333333,2.611111111111111,0.5563871377117543,0.7110268850799994
NYJ,1.933333333333333,1.25,0.683333333333333,0.14558038346271382,0.5578736726439564
CAR,-0.46000000000000013,-0.9066666666666663,0.44666666666666616,0.09514704706211115,0.5379009852996154
CLE,-2.5000000000000004,-2.3333333333333335,-0.16666666666666727,-0.03555343037043659,0.4858192210019764
WAS,-4.3933333333333335,-3.9733333333333327,-0.42000000000000065,-0.08953841017953239,0.46432701462356396
DEN,-2.194444444444445,-1.6111111111111107,-0.5833333333333343,-0.12434451558276527,0.45052125121686437
DET,1.233333333333333,2.1666666666666665,-0.9333333333333329,-0.198929027161121,0.421159131440043
GB,0.5166666666666669,1.7222222222222223,-1.2055555555555555,-0.2569392028331758,0.398612853366903
PHI,-4.850000000000001,-3.616666666666666,-1.2333333333333343,-0.2628586085139979,0.39632978015126474
JAX,-4.916666666666667,-3.6111111111111107,-1.305555555555556,-0.2782490632841348,0.39041058711647303
MIA,-1.7555555555555553,-0.24444444444444416,-1.511111111111111,-0.32205266532221677,0.37370639847300857
IND,2.4499999999999997,4.605555555555556,-2.1555555555555563,-0.45938287711728515,0.32297962108664546
ATL,1.683333333333333,3.877777777777778,-2.194444444444445,-0.4676700450704358,0.32001028283014604
TB,3.3266666666666667,6.006666666666667,-2.6800000000000006,-0.5711412563712027,0.28395194720384026
MIN,0.1388888888888887,2.9722222222222228,-2.8333333333333344,-0.6038163757293398,0.27298286543148464
HOU,-0.777777777777778,2.444444444444445,-3.2222222222222228,-0.6866880552608463,0.2461396628493735
TEN,-6.055555555555556,-2.7222222222222228,-3.3333333333333335,-0.7103656779841339,0.23873870059011204
NYG,-2.3833333333333333,2.8833333333333333,-5.266666666666667,-1.1223563133693386,0.1308554857277876
SF,-1.6500000000000004,4.555555555555555,-6.205555555555556,-1.3224322253811192,0.09301213197077302
ARI,-8.611111111111112,-2.2499999999999996,-6.361111111111112,-1.3555808971937218,0.08761627661561866
BUF,-8.361111111111109,-0.27777777777777796,-8.083333333333334,-1.72258404940468,0.042481885752796315
OAK,-4.6944444444444455,4.555555555555556,-9.250000000000002,-1.9711990879992005,0.0243505541033888
