,Offense,Defense,Overall,Standardized,Quantile
LAR,7.0625,-4.1875,11.25,2.235228010838487,0.9872988082800827
BAL,3.75,-6.375,10.125,2.0117310774552615,0.9778758536194757
JAX,0.6875,-6.75,7.4375,1.4778217365953334,0.9302722506389735
CHI,2.9375,-4.125,7.0625,1.403322758800925,0.9197396927304202
CIN,8.5625,1.520833333333333,7.041666666666667,1.3991839267012356,0.9191210823660259
KC,8.0625,4.3125,3.75,0.7452484549503161,0.7719392323525707
CAR,-2.3333333333333335,-6.0,3.6666666666666665,0.7286931265515586,0.7669053008798761
NE,0.75,-1.5,2.25,0.4472525437726819,0.6726536363340746
WAS,-1.75,-3.9166666666666665,2.1666666666666665,0.4306972153739244,0.6666557280887069
GB,1.7708333333333335,-0.27083333333333304,2.0416666666666665,0.40586422277578826,0.6575788164815821
TEN,-2.1875,-3.5,1.3125,0.2610050992866605,0.6029557125686814
ATL,4.3125,3.020833333333333,1.291666666666667,0.2568662671869712,0.6013589940404223
DEN,-3.0,-3.875,0.875,0.17408962519318386,0.5691024867018193
NO,5.5,5.0625,0.4375,0.08717415109970722,0.534733457221974
IND,0.9583333333333335,0.666666666666667,0.2916666666666661,0.05820232640188156,0.523206266167504
PIT,-0.9375,-1.125,0.1875,0.03750816590343486,0.514960085359767
NYJ,-0.5,-0.625,0.125,0.025091669604366765,0.5100090776076892
LAC,2.375,3.1875,-0.8125,-0.1611557748816546,0.4359853561391678
SEA,0.4375,1.375,-0.9375,-0.18598876747979082,0.4262267849481359
CLE,-2.5625,-0.5625,-2.0,-0.3970692045639484,0.34565821419272913
PHI,-6.625,-4.5625,-2.0625,-0.40948570086301644,0.34109162914594593
MIA,-2.5625,0.25,-2.8125,-0.5584836564518335,0.2882570808605326
DAL,-5.625,-2.416666666666667,-3.208333333333333,-0.6371214663459314,0.26202286349975745
OAK,1.875,5.25,-3.375,-0.6702321231434464,0.251354914582425
NYG,-4.375,-0.6875,-3.6875,-0.7323146046387868,0.23198828361310908
TB,4.0625,7.75,-3.6875,-0.7323146046387868,0.23198828361310908
HOU,2.0,5.9375,-3.9375,-0.7819805898350591,0.21711299043178695
MIN,-0.875,4.0,-4.875,-0.9682280343210806,0.16646524842825994
ARI,-7.729166666666666,-2.833333333333333,-4.895833333333334,-0.9723668664207701,0.16543403468454265
DET,0.5,6.75,-6.25,-1.2413909529005787,0.10723067982314766
SF,-5.1875,2.0,-7.1875,-1.4276383973866,0.07669798283665004
BUF,-11.125,0.5,-11.625,-2.3092096346204345,0.010465975596474726
