WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
14,LAR,LAR,5,3,0,4,4,0,1,0,5,0,0,5,5,0,0,0
15,NYG,NYG,4,2,0,4,4,0,0,0,4,1,0,2,3,0,1,0
16,OAK,PHI,2,2,0,1,1,0,1,0,1,1,0,1,1,0,0,0
17,DAL,PHI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
