WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,CAR,CAR,4,2,0,4,4,0,0,0,3,3,0,1,2,1,1,0
2,NO,LV,4,2,0,4,4,0,0,0,3,1,0,3,3,0,0,0
3,NE,NE,2,2,0,2,2,0,0,0,4,3,0,3,4,0,0,0
4,BUF,LV,2,3,0,2,2,0,0,0,4,1,0,3,4,0,0,0
