WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,CHI,CHI,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
2,MIN,GB,3,0,0,3,3,0,0,0,2,1,0,1,2,0,0,0
3,DEN,GB,3,2,0,3,3,0,0,0,2,1,0,1,2,0,0,0
4,PHI,GB,3,2,0,3,3,0,0,0,5,0,0,4,4,0,1,0
5,DAL,DAL,4,2,0,4,4,0,0,0,3,1,0,3,3,0,0,0
6,DET,GB,2,3,0,2,2,0,0,0,1,5,0,1,1,0,0,0
7,OAK,GB,6,0,0,6,6,0,0,0,3,1,0,3,3,0,0,0
8,KC,KC,4,1,0,4,4,0,0,0,3,1,0,3,3,0,0,0
9,LAC,LAC,1,1,0,0,0,1,1,0,2,4,0,2,2,0,0,0
10,CAR,GB,3,1,0,3,3,0,0,0,2,1,0,1,1,0,1,0
12,SF,SF,1,0,0,0,0,1,1,0,4,3,0,4,4,0,0,0
13,NYG,NYG,4,1,0,4,4,0,0,0,1,2,0,1,1,0,0,0
14,WAS,GB,2,2,0,2,2,0,0,0,2,0,0,0,1,0,1,0
