WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,HOU,NO,3,3,0,3,3,0,0,0,4,0,0,4,4,0,0,0
2,LAR,LAR,0,3,0,0,0,0,0,0,3,2,0,3,3,0,0,0
3,SEA,SEA,5,0,0,3,4,0,1,0,4,0,0,3,3,0,0,0
4,DAL,NO,0,4,0,0,0,0,0,0,1,1,0,1,1,0,0,0
5,TB,NO,4,1,0,4,4,0,0,0,3,1,0,3,3,0,0,0
6,JAX,JAX,1,2,0,1,1,0,0,0,0,2,0,0,0,0,0,0
7,CHI,CHI,4,2,1,4,4,0,0,0,3,1,0,2,2,1,1,0
8,ARI,NO,4,1,0,4,4,0,0,0,0,3,0,0,0,0,0,0
9,ATL,NO,0,3,0,0,0,0,0,0,2,4,0,2,2,0,0,0
11,TB,TB,4,2,0,4,4,0,0,0,2,1,0,2,2,0,0,0
12,CAR,NO,4,2,0,4,4,0,0,0,4,2,0,1,3,0,1,0
13,ATL,ATL,2,4,0,2,2,0,0,0,2,2,0,0,1,0,1,0
14,SF,NO,6,2,0,4,4,0,2,0,6,2,0,6,6,0,0,0
