WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,PHI,PHI,3,2,0,3,3,0,0,0,4,1,0,3,3,1,1,0
2,DAL,WAS,3,0,0,3,3,0,0,0,4,1,0,4,4,0,0,0
3,CHI,WAS,2,1,0,0,0,0,2,0,4,1,0,4,4,0,0,0
4,NYG,NYG,0,1,0,0,0,0,0,0,3,1,0,3,3,0,0,0
5,NE,WAS,1,0,0,1,1,0,0,0,4,2,0,3,4,0,0,0
6,MIA,MIA,2,1,0,2,2,0,0,0,2,1,0,1,1,0,1,0
7,SF,WAS,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
