WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,GB,CHI,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0
2,DEN,DEN,1,3,0,1,1,0,0,0,1,2,0,0,0,1,1,0
3,WAS,WAS,4,1,0,4,4,0,0,0,2,1,0,0,0,0,2,0
4,MIN,CHI,1,3,0,1,1,0,0,0,1,0,0,0,0,0,1,0
5,OAK,TOT,3,0,0,3,3,0,0,0,3,1,0,3,3,0,0,0
6,NO,CHI,3,1,0,2,2,1,1,0,4,2,1,4,4,0,0,0
8,LAC,CHI,1,3,0,1,1,0,0,0,2,1,0,2,2,0,0,0
9,PHI,PHI,2,0,0,2,2,0,0,0,2,3,0,1,2,0,0,0
10,DET,CHI,3,0,0,2,3,0,0,0,1,2,0,1,1,0,0,0
11,LAR,LAR,1,0,0,1,1,0,0,0,2,1,0,2,2,0,0,0
12,NYG,CHI,2,2,0,1,2,0,0,0,2,0,0,2,2,0,0,0
13,DET,DET,3,1,0,3,3,0,0,0,2,2,0,2,2,0,0,0
14,DAL,CHI,4,1,0,4,4,0,0,0,3,1,0,3,3,0,0,0
